ID,縣市,鄉鎮市區,路名,土地面積,使用分區,移轉層次,總樓層數,主要用途,主要建材,建物型態,屋齡,建物面積,車位面積,車位個數,橫坐標,縱坐標,備註,主建物面積,陽台面積,附屬建物面積,WGS84_LAT,WGS84_LON
PU-1,新北市,樹林區,大有路,2.039378416,,3,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),13.91666667,0.472201778,0.146176293,1,288745,2760266,,0.849663843,0.146160679,-0.438451903,24.94974526,121.3836841
PU-2,新北市,三重區,力行路一段,-0.077786128,,5,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),40.83333333,-0.5464545,-0.819325686,0,298751,2773492,,-0.004102117,0.064256658,-0.438451903,25.06886211,121.4832361
PU-3,新北市,板橋區,民生路三段,-0.555765609,,2,20,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),1.333333333,0.124031612,-0.16741875,1,297000,2769106,,-0.285861857,-0.775259555,1.323042484,25.02932068,121.4657304
PU-4,新北市,泰山區,明志路二段,-0.744837641,,6,16,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),27.5,-0.027071942,0.11528023,1,293076,2771160,,0.02758171,0.316794056,-0.139531643,25.04798111,121.426912
PU-5,台北市,信義區,忠孝東路五段,-0.610922633,,3,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),40.5,-0.863599602,-0.819325686,0,308103,2770220,,-0.883328293,-0.5602615,-0.075477302,25.0389923,121.5757948
PU-6,新北市,三重區,溪尾街,0.549057236,,5,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),35,-0.393627331,-0.819325686,0,299276,2775194,,0.264361732,-0.056893039,-0.438451903,25.08421067,121.4885009
PU-7,新北市,泰山區,明志路二段,-0.695953376,,8,14,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),3.75,-0.511982206,0.799628033,1,293078,2771217,,-0.750086488,-0.874226914,0.368632798,25.04849566,121.4269336
PU-8,新北市,泰山區,仁義路,-0.780719749,,3,13,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),17.75,-0.114401753,0.314559838,1,293716,2771834,,-0.194205074,-0.212169412,0.152983182,25.05404766,121.433276
PU-9,桃園市,蘆竹區,中山路,-0.227274883,,14,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),22.75,1.224272318,0.838248112,1,280095,2772017,,1.632424084,0.966907221,-0.301802641,25.05603228,121.298282
PU-10,新北市,新莊區,幸福路,0.219845504,,4,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),41.33333333,-0.63091162,-0.819325686,0,295761,2771317,,0.000141253,-0.788910225,-0.438451903,25.04931966,121.4535267
PU-11,新北市,鶯歌區,光復街,0.632069159,,3,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),24.91666667,-0.240225625,-0.819325686,0,285415,2761046,,0.169310254,0.287786382,-0.286856628,24.95686859,121.3507282
PU-12,台北市,松山區,民生東路五段,3.164701889,,3,4,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),51.75,-0.10233645,-0.819325686,0,306463,2772234,,1.001576474,-1.642077109,-0.438451903,25.05723656,121.5596257
PU-13,高雄市,岡山區,岡山路,0.956762582,,4,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),15.83333333,1.0421437,-0.819325686,0,177658,2521171,,0.533108472,0.659767143,-0.438451903,22.78972167,120.2954082
PU-14,新北市,三重區,仁化街,-0.532909691,,2,4,其他,鋼筋混凝土造,公寓(5樓含以下無電梯),41.58333333,-1.550747323,-0.819325686,0,299695,2772475,,-1.470893534,-0.947599266,-0.438451903,25.05964992,121.4925563
PU-15,台中市,北屯區,軍福十五路,-0.546272352,,10,15,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),3.5,-0.11842352,1.468527804,2,222011,2674321,,-0.312170748,-0.108083052,-0.438451903,24.1740009,120.7245302
PU-16,高雄市,前鎮區,一心二路,-0.431848563,,5,5,其他,鋼筋混凝土造,公寓(5樓含以下無電梯),41.58333333,-0.810167547,-0.819325686,0,178964,2501477,,-0.150356921,-1.642077109,-0.438451903,22.61193235,120.3090203
PU-17,台北市,信義區,松隆路,0.455951217,,2,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),41.41666667,-0.435568622,0.767187166,1,307786,2771302,,0.035785558,0.910598207,-0.438451903,25.0487726,121.5726989
PU-18,台北市,文山區,辛亥路七段,-0.312786297,,2,10,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),21.58333333,-0.774546177,-0.819325686,0,306026,2763849,,-0.972721946,-0.091019714,-0.438451903,24.98155359,121.5549542
PU-19,新竹縣,寶山鄉,館前路,0.433912441,,3,6,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),29.83333333,-0.262632616,0.937115515,1,249191,2739837,,0.085574427,0.103502335,-0.438451903,24.76579477,120.9920004
PU-20,新北市,板橋區,新府路,-1.229642654,,6,24,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),13.66666667,-0.92909696,0.629699684,1,296947,2767100,,-1.20554149,-1.183073326,-0.060531289,25.01121204,121.465137
PU-21,新北市,土城區,慶利街,-1.063594774,其他,7,13,住工用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),26.91666667,-0.842916226,-0.819325686,0,293897,2762842,,-0.539049575,-1.130176979,-0.438451903,24.9728617,121.434784
PU-22,新北市,汐止區,林森街,2.315067406,其他,16,21,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),29.08333333,1.062827076,0.876868191,1,312914,2770635,,1.227323735,0.733139495,-0.156612801,25.04254644,121.6234881
PU-23,新北市,板橋區,漢生東路,-0.900118485,,14,29,住家用,鋼骨造,住宅大樓(11層含以上有電梯),14.16666667,0.594003882,-0.077820166,1,297363,2767150,,0.387702341,0.238302703,1.118068592,25.01165049,121.4692602
PU-24,新北市,汐止區,民權街二段,1.61069177,其他,3,4,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),40.66666667,-0.353409656,-0.819325686,0,312565,2771159,,0.226454297,0.569331454,-0.438451903,25.04729148,121.6200534
PU-25,台北市,士林區,中山北路六段,0.998052242,,4,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),38.25,-0.262632616,-0.819325686,0,303263,2777381,,0.269453776,0.757028168,-0.438451903,25.10381928,121.5281097
PU-26,新竹縣,竹北市,聯發街,-0.247847612,,10,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),7,-0.40052179,0.601893227,1,252598,2746865,,-0.730566988,-0.838393905,0.846905213,24.82924597,121.0257027
PU-27,新竹縣,竹北市,嘉興路,0.459195748,,3,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),3.666666667,0.441176714,1.059154965,1,252748,2745506,,0.110468862,0.651235474,-0.182234537,24.81697585,121.027184
PU-28,桃園市,桃園區,正光二街,-0.075142436,,5,15,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),1.416666667,0.11828623,0.374807162,1,279922,2765889,,-0.168744856,0.188819023,-0.227072576,25.00071074,121.2964344
PU-29,台北市,內湖區,內湖路一段,0.060334753,,3,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),40.91666667,-0.725710427,-0.819325686,0,307508,2775026,,-0.546121857,0.424293083,-0.438451903,25.08240292,121.5700994
PU-30,新北市,林口區,文化三路二段,0.593783695,,7,19,其他,鋼筋混凝土造,住宅大樓(11層含以上有電梯),9.083333333,2.107912113,0.972645988,1,287830,2774601,,2.072602955,1.637496392,-0.130991064,25.07918715,121.3750161
PU-31,台北市,大安區,永康街,1.656139236,,3,4,其他,加強磚造,公寓(5樓含以下無電梯),56.5,0.028658266,-0.819325686,0,303417,2769537,露台16.12,0.759138625,-1.642077109,3.003401371,25.03299889,121.5293322
PU-32,新竹市,新竹市,和平路,-0.437592584,,9,13,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),24.25,0.626752561,-0.819325686,1,245549,2744665,,0.295196884,0.584688458,0.152983182,24.80937878,120.9559722
PU-33,台北市,內湖區,成功路三段,0.964741725,,6,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),35.08333333,-0.002366798,-0.819325686,0,309499,2774740,,0.453333124,0.448181756,-0.276180905,25.07974384,121.5898237
PU-34,新北市,中和區,連城路,0.306077925,,4,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),39.83333333,-0.362602267,-0.819325686,0,298896,2765268,,0.100567666,1.23821429,-0.438451903,24.99461099,121.4843817
PU-35,新北市,新莊區,後港一路,-0.57136339,,6,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),28.91666667,-0.739499345,-0.819325686,0,293236,2768741,,-0.785730793,-0.304311435,-0.438451903,25.02613761,121.4284218
PU-36,高雄市,三民區,十全三路,-1.104379728,,9,22,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),0.25,-0.791782323,-0.437759304,1,177162,2505330,,-1.230153033,0.035248984,-0.09255846,22.6466503,120.2913145
PU-37,台北市,北投區,杏林二路,0.594696971,,4,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),36.16666667,-0.344217044,-0.819325686,0,300059,2781685,,0.371860428,-0.217288413,-0.438451903,25.14278504,121.4964996
PU-38,台北市,中山區,安東街,1.038164257,,3,4,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),51.41666667,-0.028795557,-0.819325686,0,303403,2771191,,0.146678949,-0.469825811,1.528016376,25.04793161,121.5292575
PU-39,新北市,三重區,新興路,-0.436655275,,9,15,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),0.333333333,0.110242694,-0.819325686,0,299678,2771790,,-0.226171791,0.033542651,0.375038232,25.05346631,121.4923631
PU-40,新北市,永和區,仁愛路,1.334065472,,3,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),33.08333333,1.170840263,-0.819325686,0,301923,2767351,,2.331165608,1.354244987,-0.438451903,25.0133157,121.5144457
PU-41,新北市,中和區,民富街,0.131762499,,2,4,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),45,-1.067560673,-0.819325686,0,298107,2766687,,-0.773566467,-0.413516796,-0.438451903,25.00744706,121.4766153
PU-42,桃園市,中壢區,環中東路,-0.735440518,,14,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),17.58333333,-0.110379985,0.158534718,1,275866,2761769,,-0.221079748,0.18711269,0.088928841,24.96358873,121.2561753
PU-43,高雄市,鼓山區,美術東七街,-1.013749166,,7,15,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),15.58333333,-0.564839723,-0.019117646,1,176999,2507091,,-0.80892788,-0.80938623,-0.098963894,22.66254587,120.2896469
PU-44,新竹市,新竹市,中華路二段,-0.512072593,,8,18,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),9.416666667,0.320523686,0.476764171,1,247790,2744263,,0.125744993,-0.510777821,0.770040004,24.80575416,120.97814
PU-45,新北市,板橋區,金門街,0.057066189,,2,11,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),8.666666667,-0.572883259,0.603438031,1,293236,2763983,,-0.748389141,-0.404985128,-0.438451903,24.9831818,121.4282728
PU-46,基隆市,安樂區,安和二街,0.148081288,,13,16,國民住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),25.75,0.161951135,-0.819325686,0,322697,2780258,,0.23578971,0.108621336,-0.438451903,25.12898021,121.7209424
PU-47,高雄市,鼓山區,美術東二路,-0.345568075,,14,15,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),15.58333333,0.851397008,-0.036110481,1,176872,2507051,,0.690113147,0.465245094,-0.188639972,22.66217917,120.288413
PU-48,新北市,淡水區,中山北路二段,0.182016678,,8,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),12.16666667,0.183209049,-0.00675922,2,294438,2786400,,-0.114146834,0.161517683,0.669688202,25.18552801,121.4409033
PU-49,屏東縣,屏東市,民享路,0.320041424,,3,7,集合住宅,鋼筋混凝土造,華廈(10層含以下有電梯),28.25,0.18952897,-0.819325686,0,198540,2508250,,-0.00693103,0.470364095,-0.438451903,22.67380474,120.4992111
PU-50,台北市,士林區,中山北路六段,1.005454579,,4,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),42.66666667,-0.004664951,-0.819325686,0,303118,2777963,,0.797328951,0.550561782,-0.438451903,25.10907861,121.5266946
