ID,predicted_price
PU-1,-24.444746
PU-2,2.9215379
PU-3,4.4159536
PU-4,2.5519922
PU-5,-27.29199
PU-6,5.6669283
PU-7,6.946065
PU-8,0.5965755
PU-9,9.769805
PU-10,0.42859608
PU-11,6.690612
PU-12,9.048672
PU-13,-30.333155
PU-14,-0.25339264
PU-15,4.9963746
PU-16,3.7390976
PU-17,3.755915
PU-18,-15.252284
PU-19,7.192651
PU-20,6.134339
PU-21,-8.428233
PU-22,10.18056
PU-23,-0.56182855
PU-24,9.477764
PU-25,8.424662
PU-26,-16.495192
PU-27,6.75037
PU-28,4.921347
PU-29,10.264731
PU-30,4.6191177
PU-31,6.347309
PU-32,-3.216847
PU-33,-1.6855316
PU-34,8.505935
PU-35,6.7740235
PU-36,-22.16696
PU-37,6.8429737
PU-38,-5.489005
PU-39,6.510138
PU-40,4.530914
PU-41,-2.3525438
PU-42,2.9242706
PU-43,10.26822
PU-44,7.0951214
PU-45,-42.89918
PU-46,4.7397532
PU-47,-3.6816916
PU-48,4.447815
PU-49,8.245312
PU-50,2.462317
PU-51,8.993726
PU-52,-13.9089575
PU-53,-1.8130498
PU-54,-0.9593013
PU-55,2.0490282
PU-56,3.596723
PU-57,3.609394
PU-58,-12.469291
PU-59,5.285575
PU-60,-20.196018
PU-61,-1.9641132
PU-62,5.7489944
PU-63,0.5460352
PU-64,4.47251
PU-65,7.088749
PU-66,2.4780369
PU-67,-1.8218322
PU-68,1.6865375
PU-69,8.343747
PU-70,2.817401
PU-71,7.335444
PU-72,7.4086323
PU-73,8.625707
PU-74,-10.726646
PU-75,2.6961207
PU-76,-21.95403
PU-77,3.274341
PU-78,2.7115526
PU-79,7.7773304
PU-80,8.23081
PU-81,-3.2083578
PU-82,6.7848797
PU-83,4.525676
PU-84,6.3489904
PU-85,2.7017155
PU-86,8.30189
PU-87,7.7106485
PU-88,6.006283
PU-89,8.822295
PU-90,2.8363857
PU-91,-22.16045
PU-92,5.619457
PU-93,10.522597
PU-94,6.7092
PU-95,2.8261118
PU-96,0.87747526
PU-97,-1.845638
PU-98,6.916496
PU-99,7.9521084
PU-100,-8.102404
PU-101,-0.94018537
PU-102,6.3706994
PU-103,9.028742
PU-104,-2.196815
PU-105,6.9232717
PU-106,-37.47376
PU-107,5.684078
PU-108,-8.296972
PU-109,7.8436027
PU-110,7.9611845
PU-111,7.0665154
PU-112,2.85349
PU-113,4.7313437
PU-114,1.5382512
PU-115,-22.086735
PU-116,-0.0032313466
PU-117,-12.279108
PU-118,8.001508
PU-119,7.381303
PU-120,7.504443
PU-121,7.1519437
PU-122,-37.7665
PU-123,-3.8471966
PU-124,-5.7354946
PU-125,7.2579546
PU-126,-18.691328
PU-127,-12.188107
PU-128,-28.278645
PU-129,6.1561975
PU-130,-2.786421
PU-131,6.9488654
PU-132,2.4535904
PU-133,0.9613326
PU-134,-5.455822
PU-135,7.0892963
PU-136,-9.390771
PU-137,3.1089246
PU-138,4.894349
PU-139,-0.8915743
PU-140,-17.427412
PU-141,2.1058714
PU-142,0.82410365
PU-143,-36.90277
PU-144,8.846647
PU-145,1.5207684
PU-146,0.9710523
PU-147,-13.804384
PU-148,-11.478315
PU-149,9.033186
PU-150,8.653431
PU-151,9.267923
PU-152,-2.3380542
PU-153,5.751156
PU-154,9.21899
PU-155,10.107185
PU-156,6.6773133
PU-157,5.264302
PU-158,7.3040605
PU-159,1.0069454
PU-160,-6.1274185
PU-161,-3.9178925
PU-162,5.608431
PU-163,2.1233773
PU-164,2.8801157
PU-165,8.652178
PU-166,5.67476
PU-167,9.613745
PU-168,9.205556
PU-169,4.91673
PU-170,-3.1361475
PU-171,-6.1638136
PU-172,5.952705
PU-173,-12.454637
PU-174,-7.6722274
PU-175,-0.6450679
