ID,predicted_price
PU-1,1.971584
PU-2,1.9660476
PU-3,1.9863964
PU-4,1.9664787
PU-5,1.9703884
PU-6,1.9723116
PU-7,1.9770786
PU-8,1.967884
PU-9,1.9761215
PU-10,1.971331
PU-11,1.991591
PU-12,1.9725015
PU-13,1.9781959
PU-14,1.978245
PU-15,1.9770725
PU-16,1.9874568
PU-17,1.9878844
PU-18,2.0026789
PU-19,1.9830465
PU-20,1.9849435
PU-21,1.9699433
PU-22,1.9758073
PU-23,1.9825755
PU-24,1.993259
PU-25,1.9730527
PU-26,1.9761267
PU-27,1.9736017
PU-28,1.9751399
PU-29,1.9882897
PU-30,1.9748592
PU-31,1.9896588
PU-32,1.9810271
PU-33,1.9922259
PU-34,1.9856892
PU-35,1.9820067
PU-36,1.9643836
PU-37,1.9828637
PU-38,1.9706694
PU-39,1.9795003
PU-40,1.9886672
PU-41,1.9771153
PU-42,1.9689435
PU-43,1.981029
PU-44,1.9720536
PU-45,1.9880432
PU-46,1.9687836
PU-47,1.9853622
PU-48,1.9681473
PU-49,1.9793341
PU-50,1.9737165
PU-51,1.9673619
PU-52,1.9728498
PU-53,1.9769888
PU-54,1.9838327
PU-55,1.973712
PU-56,1.9747218
PU-57,1.9843354
PU-58,1.9842712
PU-59,1.9737641
PU-60,1.9735144
PU-61,1.9858211
PU-62,1.9688742
PU-63,1.976293
PU-64,1.9745753
PU-65,1.9797627
PU-66,1.9714848
PU-67,1.9760042
PU-68,1.9761422
PU-69,1.975168
PU-70,1.9738305
PU-71,1.9708987
PU-72,1.9666195
PU-73,1.9652067
PU-74,1.9725884
PU-75,1.9963156
PU-76,1.9689347
PU-77,1.9781018
PU-78,1.9779582
PU-79,1.9655838
PU-80,1.9823828
PU-81,1.9657165
PU-82,1.9723737
PU-83,1.9720918
PU-84,1.9707408
PU-85,1.9977612
PU-86,1.9708785
PU-87,1.9674115
PU-88,1.9807644
PU-89,1.9817969
PU-90,1.9647635
PU-91,1.9781439
PU-92,1.9736881
PU-93,1.9716281
PU-94,1.9874254
PU-95,1.9658616
PU-96,1.9754292
PU-97,1.9854798
PU-98,1.9655002
PU-99,1.9694391
PU-100,1.9747503
PU-101,1.999638
PU-102,1.987655
PU-103,1.9815629
PU-104,1.9926163
PU-105,1.9681216
PU-106,1.9785439
PU-107,1.9874213
PU-108,1.9657772
PU-109,1.9770445
PU-110,1.9816515
PU-111,1.9836836
PU-112,1.9720653
PU-113,1.9762424
PU-114,1.9722353
PU-115,1.9683024
PU-116,1.965459
PU-117,1.9684311
PU-118,1.9862682
PU-119,1.9654094
PU-120,1.9780396
PU-121,1.9762304
PU-122,1.985351
PU-123,1.9753058
PU-124,1.9804348
PU-125,1.9685724
PU-126,1.979525
PU-127,1.9644152
PU-128,1.9720238
PU-129,1.9651593
PU-130,1.9879327
PU-131,1.9763445
PU-132,1.9773049
PU-133,1.9646472
PU-134,1.9690448
PU-135,1.9738524
PU-136,1.9726851
PU-137,1.9896994
PU-138,1.9759228
PU-139,1.9966978
PU-140,1.9896818
PU-141,1.9648863
PU-142,1.9719565
PU-143,1.9746398
PU-144,1.9792277
PU-145,1.9766428
PU-146,1.9726518
PU-147,1.9827274
PU-148,1.9729682
PU-149,1.974483
PU-150,1.9836036
PU-151,1.96444
PU-152,1.9783002
PU-153,1.9945195
PU-154,1.9754455
PU-155,1.9828342
PU-156,1.965348
PU-157,1.9714627
PU-158,1.9774463
PU-159,1.9663837
PU-160,1.9681228
PU-161,1.9751954
PU-162,1.9778205
PU-163,2.0016603
PU-164,1.9873651
PU-165,1.9771397
PU-166,1.9719721
PU-167,1.9738811
PU-168,1.9776156
PU-169,1.9752837
PU-170,1.9740999
PU-171,1.9744335
PU-172,1.9863554
PU-173,1.9735808
PU-174,1.9842224
PU-175,1.983521
PU-176,1.9654721
PU-177,1.9754598
PU-178,1.9918022
PU-179,1.9756492
PU-180,1.9797794
PU-181,1.9808612
PU-182,1.9720006
PU-183,1.9744381
PU-184,1.9650894
PU-185,1.9657575
PU-186,1.9652292
PU-187,1.973824
PU-188,1.9894278
PU-189,1.9892398
PU-190,1.9707036
PU-191,1.9721345
PU-192,1.9761295
PU-193,1.971983
PU-194,1.9644749
PU-195,1.9743651
PU-196,1.9677242
PU-197,1.9645214
PU-198,1.9861056
PU-199,1.9725674
PU-200,1.9772223
PU-201,1.9767962
PU-202,1.9650905
PU-203,1.9804366
PU-204,2.0084066
PU-205,1.9774792
PU-206,1.9757724
PU-207,1.9984975
PU-208,1.9767897
PU-209,1.9661897
PU-210,1.9763539
PU-211,1.9795353
PU-212,1.9800801
PU-213,1.989205
PU-214,1.9825763
PU-215,1.9687126
PU-216,1.9796548
PU-217,1.9714972
PU-218,1.9779911
PU-219,1.9653978
PU-220,1.9647758
PU-221,1.9757447
PU-222,1.9840115
PU-223,1.9746567
PU-224,1.9913675
PU-225,1.9769281
PU-226,1.9745482
PU-227,1.9865983
PU-228,1.9869773
PU-229,1.9916356
PU-230,1.9911422
PU-231,1.9750468
PU-232,1.9681234
PU-233,1.9763292
PU-234,1.9709569
PU-235,1.971017
PU-236,1.9855287
PU-237,1.9702567
PU-238,1.9768796
PU-239,1.9725304
PU-240,1.9785311
PU-241,1.9847014
PU-242,1.9741136
PU-243,1.9714993
PU-244,1.9968956
PU-245,1.963661
PU-246,1.972149
PU-247,1.974608
PU-248,1.9777778
PU-249,1.9703472
PU-250,1.9928623
PU-251,1.9744782
PU-252,1.9766588
PU-253,1.9647862
PU-254,1.9724225
PU-255,1.9942031
PU-256,1.9745505
PU-257,1.9650103
PU-258,1.9811343
PU-259,1.9763672
PU-260,1.976101
PU-261,1.9763455
PU-262,1.9784678
PU-263,1.9802463
PU-264,1.9763536
PU-265,1.9780384
PU-266,1.9743421
PU-267,1.9668583
PU-268,1.9709984
PU-269,1.9703907
PU-270,1.9755913
PU-271,1.9711953
PU-272,1.9939326
PU-273,1.9870288
PU-274,1.9809684
PU-275,1.9692129
PU-276,1.977198
PU-277,1.9718814
PU-278,1.9895
PU-279,1.9669516
PU-280,1.9768065
PU-281,1.9912184
PU-282,1.9981802
PU-283,1.9681976
PU-284,1.9955578
PU-285,1.9660214
PU-286,1.963947
PU-287,1.9768767
PU-288,1.992998
PU-289,1.9721241
PU-290,1.9705032
PU-291,1.9766464
PU-292,1.9748963
PU-293,1.9752702
PU-294,1.9862356
PU-295,1.9740481
PU-296,1.9691724
PU-297,1.9815109
PU-298,1.9910803
PU-299,1.969363
PU-300,1.9724666
PU-301,1.9746736
PU-302,1.9769814
PU-303,1.9861275
PU-304,1.9900036
PU-305,1.9676564
PU-306,1.9708198
PU-307,1.980993
PU-308,1.9718989
PU-309,1.9739987
PU-310,1.9707979
PU-311,1.9724932
PU-312,1.9638218
PU-313,1.982398
PU-314,1.9746712
PU-315,1.9654729
PU-316,1.9738348
PU-317,1.9776505
PU-318,1.9768229
PU-319,1.9978569
PU-320,1.9742069
PU-321,1.9739883
PU-322,1.9937602
PU-323,1.9675118
PU-324,1.9729956
PU-325,1.9742357
PU-326,1.9696807
PU-327,1.9698511
PU-328,1.9893998
PU-329,1.976235
PU-330,1.9700578
PU-331,1.9829702
PU-332,1.9723212
PU-333,1.9840771
PU-334,1.9733876
PU-335,1.9864419
PU-336,1.9682436
PU-337,1.97541
PU-338,1.9854572
PU-339,1.9643266
PU-340,1.9701738
PU-341,1.9644103
PU-342,1.971081
PU-343,1.9705318
PU-344,1.9670464
PU-345,1.9840024
PU-346,1.9771255
PU-347,1.9744849
PU-348,1.9834679
PU-349,1.9771475
PU-350,1.9796929
PU-351,1.9662632
PU-352,1.9689673
PU-353,2.0059314
PU-354,1.9728396
PU-355,1.992097
PU-356,1.9906785
PU-357,1.975489
PU-358,1.9701629
PU-359,1.9765081
PU-360,1.9690819
PU-361,1.9685704
PU-362,1.9664944
PU-363,1.9923016
PU-364,1.9808741
PU-365,1.9744139
PU-366,1.9767673
PU-367,1.9722625
PU-368,1.9848796
PU-369,1.9782794
PU-370,1.9975591
PU-371,1.9709471
PU-372,1.9833349
PU-373,1.968323
PU-374,1.9794554
PU-375,1.9825579
PU-376,1.9724171
PU-377,1.9704491
PU-378,1.9747268
PU-379,1.9801515
PU-380,1.9814006
PU-381,1.9963729
PU-382,1.9767493
PU-383,1.9742197
PU-384,1.965849
PU-385,1.9656929
PU-386,1.9748757
PU-387,1.974388
PU-388,1.9777248
PU-389,1.983203
PU-390,1.9705981
PU-391,1.9823571
PU-392,1.9782221
PU-393,1.9735167
PU-394,1.977396
PU-395,1.9730557
PU-396,1.9811392
PU-397,1.9756429
PU-398,1.975108
PU-399,1.9921186
PU-400,1.978956
PU-401,1.9692104
PU-402,1.9643904
PU-403,1.9652512
PU-404,1.9859003
PU-405,1.9711331
PU-406,1.9881332
PU-407,1.9742137
PU-408,1.9743158
PU-409,1.9791901
PU-410,1.97561
PU-411,1.9801776
PU-412,1.9779866
PU-413,1.9860307
PU-414,1.9860553
PU-415,1.9689063
PU-416,1.9650023
PU-417,1.9736484
PU-418,1.9797974
PU-419,1.994094
PU-420,1.9754874
PU-421,1.9768724
PU-422,1.9644234
PU-423,1.9650855
PU-424,1.9725181
PU-425,1.9725064
PU-426,1.9857649
PU-427,1.9877648
PU-428,1.9651306
PU-429,1.9771907
PU-430,1.9855738
PU-431,1.9822155
PU-432,1.9958639
PU-433,1.9667565
PU-434,1.973929
PU-435,1.9754276
PU-436,1.9674606
PU-437,1.9731637
PU-438,1.9828472
PU-439,1.9769053
PU-440,1.9879388
PU-441,1.9685724
PU-442,1.9763614
PU-443,1.9796351
PU-444,1.9667221
PU-445,1.9709818
PU-446,1.9773462
PU-447,1.9752136
PU-448,1.9757867
PU-449,1.993877
PU-450,1.9689089
PU-451,1.9742676
PU-452,1.966109
PU-453,1.9684337
PU-454,1.9821062
PU-455,1.9762831
PU-456,1.9640628
PU-457,1.9742392
PU-458,1.9667928
PU-459,2.0088305
PU-460,1.9652225
PU-461,1.9780424
PU-462,1.9721086
PU-463,1.9823081
PU-464,2.0013132
PU-465,1.9766544
PU-466,1.968776
PU-467,1.9894258
PU-468,1.9720349
PU-469,1.9710653
PU-470,1.9753956
PU-471,1.9979001
PU-472,1.9720448
PU-473,1.967255
PU-474,1.9758086
PU-475,1.9790579
PU-476,2.0088449
PU-477,1.9685382
PU-478,1.9717976
PU-479,1.9787813
PU-480,1.9885962
PU-481,1.9650738
PU-482,1.981575
PU-483,1.9719255
PU-484,1.976665
PU-485,1.9790783
PU-486,1.9818836
PU-487,1.9815294
PU-488,1.9967765
PU-489,1.9861459
PU-490,1.9640129
PU-491,1.9676948
PU-492,1.9821323
PU-493,1.9756862
PU-494,1.98721
PU-495,1.9720491
PU-496,1.982446
PU-497,1.9645659
PU-498,1.9643178
PU-499,1.9895014
PU-500,1.9802502
PU-501,1.9706076
PU-502,1.9770371
PU-503,1.9752969
PU-504,1.9738356
PU-505,1.9707766
PU-506,1.9662753
PU-507,1.9706094
PU-508,1.9717828
PU-509,1.9808142
PU-510,1.9860077
PU-511,1.9753919
PU-512,2.0052109
PU-513,1.9814603
PU-514,1.9760402
PU-515,1.9769325
PU-516,1.979664
PU-517,1.963999
PU-518,1.9644349
PU-519,1.9735112
PU-520,1.9666464
PU-521,1.9795152
PU-522,1.9824957
PU-523,1.9814751
PU-524,1.9698066
PU-525,1.9745642
PU-526,1.9804251
PU-527,1.9869778
PU-528,1.9849417
PU-529,1.9790866
PU-530,1.9874474
PU-531,1.9908254
PU-532,1.9717534
PU-533,1.9715728
PU-534,1.9669538
PU-535,1.9851111
PU-536,1.9882056
PU-537,1.9705083
PU-538,1.971045
PU-539,1.9640008
PU-540,1.9766401
PU-541,1.9943298
PU-542,1.9674644
PU-543,1.9910465
PU-544,1.9666413
PU-545,1.9703358
PU-546,1.9743174
PU-547,1.9840374
PU-548,1.9732434
PU-549,1.9697726
PU-550,1.9730402
PU-551,1.977252
PU-552,1.9742314
PU-553,1.9762017
PU-554,1.9738302
PU-555,1.9646542
PU-556,1.9891648
PU-557,1.9672118
PU-558,1.9782902
PU-559,1.9991987
PU-560,1.977868
PU-561,1.9830583
PU-562,1.9642297
PU-563,1.9778732
