ID,predicted_price
PU-1,1.200545
PU-2,0.9995002
PU-3,1.9337426
PU-4,1.1590378
PU-5,3.5457864
PU-6,0.9530131
PU-7,1.6155518
PU-8,1.4137577
PU-9,1.3535063
PU-10,0.9508075
PU-11,0.8438285
PU-12,3.2500134
PU-13,1.166449
PU-14,1.1081595
PU-15,1.9751533
PU-16,0.9057936
PU-17,3.0435746
PU-18,2.7137392
PU-19,1.3675183
PU-20,1.8093606
PU-21,1.1334937
PU-22,0.9777396
PU-23,1.6797581
PU-24,0.7967981
PU-25,2.6961977
PU-26,2.0121236
PU-27,2.0293138
PU-28,1.9403342
PU-29,2.7175686
PU-30,1.7006077
PU-31,3.9709423
PU-32,1.4075903
PU-33,2.9754646
PU-34,0.9135879
PU-35,1.1548947
PU-36,1.4966742
PU-37,1.7698922
PU-38,3.025053
PU-39,1.9430819
PU-40,1.1085892
PU-41,1.0835985
PU-42,1.3986862
PU-43,1.6910657
PU-44,1.7556016
PU-45,1.3979352
PU-46,0.90991235
PU-47,1.7212844
PU-48,1.2911205
PU-49,0.85564464
PU-50,2.710646
PU-51,1.685074
PU-52,1.2431836
PU-53,1.3725452
PU-54,1.9273459
PU-55,1.0080465
PU-56,4.6325574
PU-57,3.2515318
PU-58,2.8897765
PU-59,1.0128292
PU-60,2.7083738
PU-61,1.6851865
PU-62,1.428974
PU-63,1.1913744
PU-64,1.3385497
PU-65,5.3637295
PU-66,2.2508366
PU-67,1.1893653
PU-68,1.147977
PU-69,1.700306
PU-70,1.0536821
PU-71,1.9865386
PU-72,1.8768774
PU-73,1.4593558
PU-74,1.8187755
PU-75,0.9761575
PU-76,0.91373587
PU-77,1.1978811
PU-78,0.9231549
PU-79,1.7435758
PU-80,1.5031224
PU-81,1.6748518
PU-82,1.377272
PU-83,1.5164908
PU-84,1.9574547
PU-85,4.0816045
PU-86,1.096379
PU-87,2.8535295
PU-88,1.2444024
PU-89,2.932749
PU-90,3.8275402
PU-91,0.8217747
PU-92,0.83655864
PU-93,1.6765761
PU-94,1.2445927
PU-95,1.314741
PU-96,0.9501716
PU-97,1.5250105
PU-98,1.5477551
PU-99,1.3562617
PU-100,0.98510575
PU-101,1.7095755
PU-102,1.0385591
