ID,predicted_price
PU-1,3.2514453
PU-2,-22.190725
PU-3,-4.2976456
PU-4,8.28337
PU-5,-10.355473
PU-6,11.50977
PU-7,7.647101
PU-8,-1.1574342
PU-9,1.0646544
PU-10,6.4673624
PU-11,4.409077
PU-12,7.090725
PU-13,-0.4064315
PU-14,6.2052107
PU-15,2.5243175
PU-16,-0.054666698
PU-17,-0.29387623
PU-18,8.255928
PU-19,4.341557
PU-20,-17.821053
PU-21,0.16436762
PU-22,2.8662992
PU-23,-2.2486491
PU-24,8.543747
PU-25,-2.7642775
PU-26,-3.24821
PU-27,6.636751
PU-28,4.955421
PU-29,-5.818091
PU-30,5.69679
PU-31,0.22083113
PU-32,7.378852
PU-33,-5.138877
PU-34,9.260622
PU-35,1.872206
PU-36,-29.688322
PU-37,6.8608766
PU-38,-5.6350193
PU-39,7.471003
PU-40,4.01897
PU-41,-24.213154
PU-42,2.6719522
PU-43,-16.744005
PU-44,5.4654155
PU-45,8.292258
PU-46,-1.6609116
PU-47,3.7489815
PU-48,7.7999115
PU-49,2.5222185
PU-50,-3.751657
PU-51,-4.671442
PU-52,8.260269
PU-53,1.5534875
PU-54,-27.39824
PU-55,-4.064609
PU-56,5.7266545
PU-57,-10.044996
PU-58,-7.745944
PU-59,7.5788083
PU-60,4.6180673
PU-61,6.52006
PU-62,-23.478947
PU-63,-0.27505785
PU-64,9.750003
PU-65,-35.81347
PU-66,2.2894106
PU-67,6.5519485
PU-68,-0.3851313
PU-69,5.9970245
PU-70,-21.735935
PU-71,2.8161993
PU-72,2.1117225
PU-73,3.0035982
PU-74,-11.911451
PU-75,6.375206
PU-76,-5.238569
PU-77,-3.8407063
PU-78,-3.8010106
PU-79,-7.662678
PU-80,-2.0406895
PU-81,7.1370854
PU-82,6.748142
PU-83,4.460795
PU-84,5.1744184
PU-85,0.49527258
PU-86,4.0427413
PU-87,5.3886094
PU-88,8.110651
PU-89,-3.8137918
PU-90,8.607319
PU-91,8.153625
PU-92,-21.811619
PU-93,-7.9244986
PU-94,1.4586382
PU-95,4.0413747
PU-96,-12.538995
PU-97,5.669846
PU-98,2.2160406
PU-99,4.2738624
PU-100,9.886568
PU-101,7.800091
PU-102,-4.5666537
PU-103,-2.1026278
PU-104,4.472292
PU-105,2.3851545
PU-106,8.3212805
PU-107,-0.01717478
PU-108,-10.91582
PU-109,10.501426
PU-110,-3.1533265
PU-111,-1.6446676
PU-112,3.5394635
PU-113,-5.4800363
PU-114,5.991813
PU-115,4.206156
PU-116,-5.947798
PU-117,7.6165013
PU-118,0.45857903
PU-119,-24.939806
PU-120,-5.551201
PU-121,7.679726
PU-122,-5.0361986
PU-123,-1.7232628
PU-124,1.2065787
PU-125,2.9475844
PU-126,-9.704588
PU-127,-0.6589132
PU-128,3.440826
PU-129,-5.70073
PU-130,3.1821218
PU-131,-23.44742
PU-132,-0.8372634
PU-133,-0.3605935
PU-134,5.279157
PU-135,-14.760566
PU-136,7.336516
PU-137,5.3272657
PU-138,7.588861
PU-139,-1.473876
PU-140,-16.279566
PU-141,-6.2285023
PU-142,4.6459436
PU-143,-2.0735822
PU-144,7.0879774
PU-145,2.5129373
PU-146,-2.5834513
PU-147,5.628965
PU-148,-9.227227
PU-149,-0.028170288
PU-150,-1.5997581
PU-151,-3.387322
PU-152,-23.563932
PU-153,-0.5487471
PU-154,5.6849446
PU-155,6.2720094
PU-156,-3.2778955
PU-157,8.948855
PU-158,5.520348
PU-159,-1.0318873
PU-160,5.121398
PU-161,-4.42072
PU-162,-8.285262
PU-163,7.120971
PU-164,-0.42881745
PU-165,0.47105497
PU-166,-24.740973
PU-167,9.957937
PU-168,3.0530608
PU-169,-4.0135603
PU-170,-4.9371533
PU-171,-5.7193227
PU-172,7.950506
PU-173,5.6620674
PU-174,-14.657979
PU-175,5.6353407
PU-176,-3.8974352
PU-177,5.5831027
PU-178,-12.140755
PU-179,1.2253256
PU-180,-0.31375474
PU-181,2.3243964
PU-182,8.725784
PU-183,8.914667
PU-184,9.365094
PU-185,-3.9350138
PU-186,-1.4641976
PU-187,6.548511
PU-188,-37.70566
PU-189,-6.094738
PU-190,6.8119917
PU-191,-18.880535
PU-192,3.7656937
PU-193,7.1417956
PU-194,-17.820843
PU-195,-7.5620766
PU-196,7.884318
PU-197,-0.58953434
PU-198,-14.631671
PU-199,11.5266905
PU-200,8.869259
PU-201,-3.1909003
PU-202,-17.616224
PU-203,5.0853386
PU-204,-9.292224
PU-205,-2.112564
PU-206,-3.7286825
PU-207,-4.644367
PU-208,9.346143
PU-209,-3.7748985
PU-210,-4.653534
PU-211,8.800795
PU-212,-6.9806256
PU-213,-0.32967824
PU-214,2.9688354
PU-215,4.603053
PU-216,9.755179
PU-217,-6.7814136
PU-218,0.63832814
PU-219,8.556312
PU-220,-38.002884
PU-221,3.6369267
PU-222,-8.141264
PU-223,4.648965
PU-224,-4.4163895
PU-225,-3.9887905
PU-226,8.934444
PU-227,2.5263748
PU-228,1.9049704
PU-229,7.6175227
PU-230,6.835819
PU-231,2.6883955
PU-232,7.58984
PU-233,-0.586453
PU-234,-0.6569721
PU-235,0.817488
PU-236,-16.934565
PU-237,-12.763556
PU-238,1.6906114
PU-239,8.307517
PU-240,0.60548586
PU-241,9.114066
PU-242,6.311711
PU-243,5.0602303
PU-244,9.564979
PU-245,-0.6760804
PU-246,9.057754
PU-247,2.483433
PU-248,7.4902596
PU-249,2.8045979
PU-250,7.303835
PU-251,-4.96124
PU-252,-4.531865
PU-253,5.511509
PU-254,-4.0072308
PU-255,1.2197475
PU-256,-3.2879286
PU-257,8.779277
PU-258,8.59165
PU-259,7.392793
PU-260,5.9418874
PU-261,2.4038556
PU-262,3.302991
PU-263,6.884511
PU-264,-3.5115995
PU-265,10.236489
PU-266,6.92291
