學校代碼,學校名稱,lat,lng,TWD97_X,TWD97_Y
11301,私立淡江高中附設國小部,25.1748993,121.4359557,293943.1403,2785221.07
11302,私立康橋實驗高中附設國小部,24.9120394,121.4958652,300088.6125,2756126.246
11307,私立裕德實驗高中附設國小部,24.9830118,121.4394801,294367.4987,2763967.789
11330,私立林口康橋高中附設國小部,25.0741868,121.389928,289335.8601,2774051.394
11601,私立育才國小,25.007022,121.521715,302659.3871,2766656.684
11602,私立聖心國小,25.134473,121.450429,295416.9919,2780747.998
11603,私立及人國小,25.0156533,121.5118716,301662.2134,2767608.94
11604,私立竹林國小,24.9799565,121.5057743,301061.5642,2763652.688
11606,信賢種籽親子實小,24.838942,121.52862,303428.7409,2748042.218
13601,市立北大國小,24.9391245,121.3732293,287692.4779,2759086.676
13602,市立新林國小,25.0697467,121.3590601,286223.191,2773550.964
14601,市立板橋國小,25.0116333,121.4583053,296257.2972,2767144.311
14602,市立國光國小,25.0191826,121.4530228,295721.3251,2767978.711
14603,市立新埔國小,25.0182479,121.306454,280928.9904,2767833.717
14604,市立埔墘國小,25.0181471,121.4741019,297849.1653,2767871.294
14605,市立莒光國小,22.7116034,120.2952757,177603.2496,2512520.609
14606,市立後埔國小,25.0031578,121.4633736,296772.0635,2766207.269
14607,市立海山國小,25.009392,121.47092,297531.3948,2766900.421
14608,市立江翠國小,25.032317,121.474133,297846.8099,2769440.829
14610,市立文聖國小,25.0291921,121.4776744,298205.4141,2769095.957
14611,市立沙崙國小,24.9898701,121.4301153,293419.6594,2764724.409
14612,市立文德國小,22.640365,120.35399,183600.9032,2504604.685
14613,市立樹林國小,24.9898163,121.4180796,292204.6731,2764714.65
14614,市立文林國小,25.1059061,121.5147455,301914.232,2777606.945
14615,市立大同國小,25.0650081,121.5168867,302147.5119,2773077.662
14616,市立武林國小,25.001952,121.4147243,291861.8441,2766057.805
14617,市立山佳國小,24.9754914,121.4017467,290560.5659,2763122.994
14618,市立育德國小,24.9708725,121.3925043,289628.9183,2762608.659
14619,市立柑園國小,24.9557548,121.390047,289385.6272,2760933.463
14620,市立鶯歌國小,24.9511444,121.3459083,284929.9139,2760410.727
14621,市立二橋國小,24.9410772,121.3377567,284109.5292,2759293.589
14622,市立中湖國小,24.9728344,121.3479281,285127.7186,2762813.688
14623,市立鳳鳴國小,24.969172,121.334826,283805.8877,2762404.703
14624,市立三峽國小,24.9356959,121.3678873,287154.0119,2758705.445
14813,市立達觀國(中)小,24.9536053,121.5000233,300491.7015,2760731.771
34784,市立文欣國小,25.05737,121.3720016,287532.5553,2772183.597
64706,市立內新國小,24.1113864,120.6957233,219069.0081,2667392.492
84680,縣立永康國小,23.0259331,120.2559899,173742.906,2547348.448
104712,縣立義仁國小,23.5082972,120.4993009,198865.9453,2600659.303
134611,縣立唐榮國小,22.671915,120.486059,197187.7651,2508045.36
154676,縣立吳江國小,23.2789328,121.3225302,282995.1011,2575207.42
353608,臺北市立大學附小,25.0359824,121.5159075,302060.9788,2769862.24
363601,市立蓬萊國小,25.0563873,121.5157097,302032.4057,2772122.321
363602,市立日新國小,25.0544041,121.5164821,302111.1768,2771902.948
363603,市立太平國小,25.061383,121.511449,301600.4238,2772674.04
363604,市立永樂國小,25.061297,121.5110848,301563.7148,2772664.375
363605,市立雙蓮國小,25.0601155,121.5167044,302131.1901,2772535.66
363606,市立大同國小,25.0650081,121.5168867,302147.5119,2773077.662
363607,市立大龍國小,25.0738189,121.5168374,302138.8078,2774053.578
363608,市立延平國小,25.0666472,121.5124288,301697.0689,2773257.507
363609,市立大橋國小,25.0640328,121.5125477,301710.162,2772967.966
371601,私立光仁小學,25.0214493,121.4996173,300423.0225,2768246.316
