學校名稱,lat,lng,TWD97_X,TWD97_Y
國立雲林科技大學,23.6960596,120.5340433,202481.7873,2621440.912
朝陽科技大學,24.069678,120.714829,221001.8088,2662769.232
嘉南藥理大學,22.9209971,120.2253459,170540.6013,2535744.156
中華科技大學,25.0336217,121.6099098,311548.2798,2769640.195
臺北市立大學,25.0355926,121.5140027,301868.9233,2769818.333
國立體育大學,25.0351268,121.3839182,288741.8637,2769723.208
國立臺北護理健康大學,25.1175924,121.5210676,302546.8574,2778903.84
國立高雄餐旅大學,22.5632539,120.3723822,185455.4219,2496057.92
國立金門大學,24.4481499,118.322535,-21523.34347,2707282.87
國立臺灣體育運動大學,24.1486798,120.6876707,218259.6267,2671524.54
國立臺中科技大學,24.1497433,120.6837712,217863.6045,2671643.213
僑光科技大學,24.1895097,120.6430997,213741.608,2676057.316
育達科技大學,24.6509745,120.8422629,234033.3211,2727128.939
美和科技大學,22.603895,120.560668,204832.4218,2500488.906
吳鳳科技大學,23.5360276,120.4341554,192224.9051,2603754.979
環球科技大學,23.6798529,120.5531411,204423.7825,2619639.867
台灣首府大學,23.1930713,120.2684501,175112.8185,2565851.026
中州科技大學,23.9576199,120.6040587,209702.9011,2650386.202
修平科技大學,24.0953128,120.7138722,220910.2994,2665608.465
東吳大學,25.094415,121.545748,305046.1658,2776346.394
國立屏東科技大學,22.6433454,120.6098266,209897.9035,2504843.169
國立臺北科技大學,25.0422329,121.5354974,304035.122,2770562.256
國立臺北藝術大學,25.1325182,121.4696818,297359.0431,2780538.094
國立臺灣藝術大學,25.0058674,121.4475607,295174.9266,2766502.032
國立臺東大學,22.736571,121.067897,256973.7109,2515114.939
國立宜蘭大學,24.7462462,121.7477007,325628.5787,2737878.387
國立聯合大學,24.5458044,120.81232,230986.5112,2715484.503
實踐大學,25.083982,121.5459518,305071.3916,2775190.851
台北海洋科技大學,25.1921692,121.4267044,293004.5612,2787131.011
亞東科技大學,24.995194,121.4531189,295739.9073,2765321.667
中信金融管理學院,23.0637267,120.1629674,164232.0812,2551585.24
大漢技術學院,24.0392272,121.6057039,311607.3617,2659500.094
和春技術學院,22.6080409,120.4270968,191101.4884,2500994.614
南亞技術學院,24.9369569,121.2516879,275418.3764,2758818.364
蘭陽技術學院,24.864987,121.817719,332632.3469,2751071.367
黎明技術學院,25.0662724,121.4210118,292474.3523,2773184.162
經國管理暨健康學院,25.1500306,121.7277801,323373.9315,2782593.446
明新科技大學,24.8641986,120.9906648,249056.6719,2750736.124
國立臺北商業大學,25.0418903,121.5256203,303038.5884,2770520.401
國立屏東大學,22.6659053,120.5048409,199115.5987,2507373.347
國立高雄科技大學,22.7556518,120.3320979,181408.115,2517380.792
國立臺灣戲曲學院,25.0819234,121.586525,309165.1806,2774979.975
國立臺南護理專科學校,22.9956656,120.207567,168761.4782,2544022.642
國立臺東專科學校,22.7586954,121.1226973,262600.2339,2517568.383
東海大學,24.1798677,120.604492,209816.2959,2675000.002
輔仁大學,25.0334487,121.4334756,293743.4417,2769552.43
高雄醫學大學,22.6452028,120.310411,179124.0399,2505160.49
南華大學,29.7199489,-95.3422334,3882817.292,16088008.33
真理大學,25.1751815,121.4344674,293793.021,2785251.844
大同大學,25.0671544,121.521804,302642.6985,2773317.304
南臺科技大學,23.0254548,120.2264886,170718.7733,2547311.146
崑山科技大學,22.9977586,120.2530937,173430.1483,2544229.924
