站點ID,站點名稱,站點地址,車站級別,lat,lng,TWD97_X,TWD97_Y
3260,頭家厝,427臺中市潭子區頭張東路43巷8號,4,24.19572,120.70398,219928.0865,2676730.672
3270,松竹,40615臺中市北屯區舊社里松竹路一段1473巷100號,4,24.18045,120.70197,219720.2901,2675039.94
3280,太原,40645臺中市北屯區北興里東光路 665 號,4,24.16501,120.69986,219502.2457,2673330.408
3290,精武,40151臺中市東區東南里東光路 161號,4,24.14928,120.69777,219286.1151,2671588.761
3300,臺中,40043臺中市中區綠川里臺灣大道一段 1 號,0,24.13747,120.68691,218179.5455,2670283.224
3310,五權,40219臺中市南區建國南路二段201號,4,24.12894,120.66653,216105.9901,2669343.303
3320,大慶,40242臺中市南區樹德里7鄰大慶街2段130號,4,24.11958,120.64871,214292.1464,2668311.104
3330,烏日,41442臺中市烏日區烏日里三民街 258 號,4,24.10867,120.62244,211618.5807,2667109.758
3340,新烏日,41456臺中市烏日區三和里高鐵東一路 26 號,2,24.10976,120.61429,210790.4041,2667232.73
3350,成功,41453臺中市烏日區榮泉里中山路三段 550 號,3,24.11424,120.59021,208343.9589,2667735.835
3360,彰化,50043彰化縣彰化市長樂里三民路 1 號,1,24.08171,120.53828,203053.2353,2664149.509
3370,花壇,50341彰化縣花壇鄉花壇村中正路 370 號,4,24.02521,120.53759,202962.4925,2657892.345
3380,大村,515彰化縣大村鄉過溝村福進路 100 號,4,23.99003,120.56068,205299.1423,2653988.654
3390,員林,51041彰化縣員林市和平里民權街 55 號,1,23.95933,120.56995,206232.0082,2650585.754
3400,永靖,51241彰化縣永靖鄉崙子村永崙路 25 號,5,23.92811,120.57165,206394.5357,2647127.662
3410,社頭,51155彰化縣社頭鄉廣興村社站路 10 號,3,23.89571,120.58082,207317.4002,2643536.63
3420,田中,52042彰化縣田中鎮中路里中州路一段 1 號,2,23.85827,120.59121,208363.3894,2639387.156
3430,二水,53042彰化縣二水鄉光化村光文路 1 號,2,23.81321,120.61805,211083.7168,2634389.291
3431,源泉,530彰化縣二水鄉合興村英義路 (無站房),5,23.79846,120.64208,213527.999,2632749.407
3432,濁水,55141南投縣名間鄉濁水村車站路 15 號,4,23.83467,120.70467,219914.301,2636744.83
3433,龍泉,552南投縣集集鎮隘寮村龍泉巷 (無站房),5,23.83521,120.74996,224528.1867,2636795.759
3434,集集,55241南投縣集集鎮吳厝里民生路 75 號,5,23.82653,120.78491,228087.1307,2635828.65
3435,水里,55353南投縣水里鄉水里村民生路 440 號,4,23.81844,120.85333,235056.6877,2634923.835
3436,車埕,55345南投縣水里鄉車埕村民權巷 2 號,5,23.83263,120.86572,236320.5187,2636494.055
3450,林內,64341雲林縣林內鄉林中村中山路 42 號,3,23.75967,120.61499,210755.8648,2628460.805
3460,石榴,64071雲林縣斗六市榴北里文明路 31 號,5,23.73167,120.57998,207178.0942,2625370.031
3470,斗六,64050雲林縣斗六市信義里民生路 187 號,1,23.71157,120.54117,203214.108,2623156.259
3480,斗南,63042雲林縣斗南鎮南昌里中山路 2 號,2,23.67302,120.48095,197057.9572,2618908.081
3490,石龜,630雲林縣斗南鎮石龜里,5,23.63951,120.47106,196035.4309,2615200.706
4050,大林,62242嘉義縣大林鎮吉林里中山路 2 號,3,23.60112,120.45585,194467.4359,2610955.028
4060,民雄,62142嘉義縣民雄鄉東榮村和平路 2 號,3,23.55502,120.43136,191947.8159,2605859.409
4070,嘉北,60079嘉義市 東區後湖里保建街 110 號,4,23.49985,120.44852,193676.2339,2599742.825
4080,嘉義,60041嘉義市 西區番社里中山路 528 號,1,23.47902,120.44124,192923.7298,2597438.912
4090,水上,60841嘉義縣水上鄉下寮村鴿溪寮 49 號,4,23.43389,120.39961,188650.354,2592458.194
4100,南靖,60859嘉義縣水上鄉三鎮村三鎮路 26 號,4,23.41346,120.38647,187298.0033,2590201.366
4110,後壁,73143臺南市後壁區後壁里後壁 77 號,4,23.36626,120.36058,184628.8448,2584985.785
4120,新營,73045臺南市新營區中營里中山路 1 號,1,23.30673,120.32307,180763.0318,2578410.727
900,基隆,1041基隆市中山區民治里1鄰中山一路16之 1號,1,25.13411,121.73997,324612.6236,2780836.614
910,三坑,20045基隆市仁愛區德厚里龍安街 206 號,4,25.12305,121.74202,324826.0745,2779612.636
920,八堵,20541基隆市暖暖區八南里八堵路 142 號,2,25.10843,121.72898,323519.8071,2777986.022
930,七堵,20646基隆市七堵區長興里東新街 2 號,1,25.09294,121.71415,322033.1797,2776262.219
940,百福,20651基隆市七堵區堵南里明德三路 1 之 1 號,4,25.07803,121.69373,319981.9164,2774599.931
950,五堵,22178新北市汐止區長安里長安路 17 號,4,25.07784,121.66764,317350.0417,2774565.631
960,汐止,22166新北市汐止區信望里信義路 1 號,2,25.06894,121.66244,316830.2925,2773577.218
970,汐科,22184新北市汐止區大同里大同路二段 182 號,4,25.06261,121.64659,315234.5725,2772868.32
980,南港,1151臺北市南港區南港里南港路一段 313 號,1,25.05348,121.60706,311250.8231,2771838.536
990,松山,11088臺北市信義區永吉里松山路 11 號B1,1,25.04936,121.57807,308327.6892,2771369.369
1000,臺北,100230臺北市中正區黎明里北平西路 3 號,0,25.04771,121.51784,302251.024,2771161.996
