郵遞區號,局名,電腦局名,lat,lng,TWD97_X,TWD97_Y
116644,木柵郵局,臺北170支,24.98851,121.565528,307090.3016,2764623.935
116011,文山指南郵局,臺北171支,24.9876307,121.5763395,308182.1648,2764531.134
116005,文山溝子口郵局,臺北172支,24.987445,121.548406,305362.2704,2764498.873
116019,文山木新郵局,臺北173支,24.9804345,121.556331,306165.5098,2763725.613
223002,石碇郵局,臺北174支,24.99136,121.657573,316381.0001,2764981.519
222004,深坑郵局,臺北175支,25.0012477,121.6091976,311492.5318,2766053.929
221030,汐止龍安郵局,基隆43支,25.063807,121.65434,316015.8517,2773004.669
221007,汐止厚德郵局,基隆44支,25.0664749,121.642472,314817.0618,2773294.445
221039,汐止翠柏郵局,基隆45支,25.1125158,121.6032159,310833.767,2778376.02
221028,汐止南昌郵局,基隆46支,25.068871,121.6636089,316948.258,2773570.153
221683,汐止建成路郵局,基隆47支,25.07315,121.6635171,316936.6705,2774044.082
400700,臺中民權路郵局,臺中901支,24.139116,120.678871,217362.9254,2670467.368
402701,臺中臺中路郵局,臺中1支,24.1332801,120.6833992,217821.6795,2669819.993
403702,臺中中正路郵局,臺中2支,24.1475704,120.6735961,216829.0032,2671404.935
414703,烏日郵局,臺中3支,24.1054806,120.6247427,211851.7224,2666755.903
407705,東海大學郵局,臺中5支,24.1822618,120.5933214,208682.1187,2675268.407
413706,霧峰民生路郵局,臺中6支,24.0664433,120.7006288,219557.0606,2662413.996
100003,臺北北門郵局,臺北901支,25.0473639,121.5117532,301636.9889,2771121.324
100016,臺北東門郵局,臺北1支,25.0340699,121.528913,303374.2342,2769655.465
108207,臺北漢中街郵局,臺北2支,25.0413279,121.507015,301161.3908,2770450.945
108010,臺北西園郵局,臺北3支,25.0407723,121.5010534,300560.0412,2770387.164
100056,臺北南海郵局,臺北5支,25.0318307,121.5146612,301936.9587,2769401.897
100053,臺北螢橋郵局,臺北6支,25.0246327,121.5173708,302213.4483,2768605.652
106203,臺北青田郵局,臺北7支,25.026618,121.53114,303602.2093,2768830.933
100009,臺北復興橋郵局,臺北8支,25.0459863,121.519409,302410.0746,2770971.677
104202,臺北中山郵局,臺北9支,25.0514825,121.522115,302680.7749,2771581.517
103210,臺北迪化街郵局,臺北10支,25.054789,121.509986,301455.5718,2771943.095
103211,臺北圓環郵局,臺北11支,25.0546485,121.5144792,301908.9849,2771929.249
100211,行政院郵局,臺北12支,25.0469368,121.5207279,302542.7532,2771077.471
100046,臺北公館郵局,臺北13支,25.0144012,121.5344194,303938.5082,2767479.038
100006,國史館郵局,臺北14支,25.039598,121.511122,301576.5467,2770260.891
100004,總統府郵局,臺北15支,25.0403593,121.5122878,301693.8687,2770345.661
104218,臺北雙連郵局,臺北17支,25.059418,121.522528,302719.052,2772460.658
105047,臺北松山郵局,臺北18支,25.0498136,121.5741652,307933.4702,2771417.935
100205,臺北法院郵局,臺北20支,25.0380189,121.511288,301593.9584,2770086.045
103221,臺北臺北橋郵局,臺北21支,25.0627732,121.5127173,301727.8019,2772828.511
106209,臺北師大郵局,臺北22支,25.0264676,121.5274986,303234.7803,2768812.838
106216,臺大郵局,臺北23支,25.0152002,121.5375088,304249.9736,2767568.773
106240,臺北仁愛路郵局,臺北24支,25.0386721,121.5356019,304047.2275,2770167.884
100222,立法院郵局,臺北25支,25.043252,121.5198947,302460.2476,2770668.999
106096,臺北信維郵局,臺北26支,25.0334326,121.5477155,305271.9744,2769592.418
104282,臺北建北郵局,臺北27支,25.0549662,121.537218,304203.1457,2771973.357
111011,士林郵局,臺北28支,25.089177,121.5268704,303144.3285,2775758.641
116052,文山景美郵局,臺北29支,24.9924139,121.5408931,304601.624,2765046.206
100037,臺北古亭郵局,臺北30支,25.0236748,121.5247112,302954.6712,2768502.4
108240,臺北東園郵局,臺北31支,25.0233783,121.4975532,300213.9185,2768459.215
106236,臺北光華郵局,臺北32支,25.045035,121.5331169,303793.6873,2770871.684
100007,臺北南陽郵局,臺北33支,25.0445958,121.5159941,302066.0812,2770816.339
104102,臺北中崙郵局,臺北34支,25.0493989,121.5437189,304861.5512,2771359.31
108228,臺北莒光郵局,臺北35支,25.0313869,121.501124,300571.0133,2769347.616
105407,臺北光復郵局,臺北36支,25.047932,121.557611,306263.9699,2771202.532
104244,臺北大直郵局,臺北37支,25.0790058,121.5454534,305023.3404,2774639.453
111064,士林社子郵局,臺北42支,25.0824998,121.5104478,301490.5798,2775012.676
106231,臺北三張犁郵局,臺北43支,25.0334299,121.556385,306146.8643,2769595.686
106247,臺北成功郵局,臺北44支,25.0266775,121.5473349,305236.5902,2768844.031
105008,松山機場郵局,臺北45支,25.0636811,121.5518476,305675.3047,2772944.612
104297,臺北長安郵局,臺北46支,25.0485868,121.5348468,303966.6898,2771265.79
103247,臺北大同郵局,臺北47支,25.0644708,121.5188691,302347.7435,2773018.914
105063,臺北西松郵局,臺北48支,25.0515829,121.5667019,307179.5839,2771610.738
110204,臺北市府郵局,臺北49支,25.037531,121.5639969,306913.1328,2770053.126
103250,臺北大龍峒郵局,臺北50支,25.07606,121.5136689,301818.2192,2774300.597
110210,臺北松德郵局,臺北51支,25.0320543,121.574243,307949.6656,2769450.841
111029,士林天母郵局,臺北52支,25.1226571,121.5321676,303664.041,2779469.207
106233,臺北光武郵局,臺北53支,25.0430337,121.5455117,305045.2912,2770654.992
110017,臺北吳興郵局,臺北54支,25.0269119,121.566401,307160.6567,2768877.906
104223,臺北松江路郵局,臺北55支,25.0620693,121.5329738,303771.815,2772758.443
105015,臺北延壽郵局,臺北56支,25.0581482,121.5559691,306093.6459,2772333.458
106224,臺北六張犁郵局,臺北57支,25.0228652,121.553841,305894.9203,2768424.429
100213,臺北小南門郵局,臺北58支,25.0359087,121.5081728,301280.4763,2769851.125
111001,故宮郵局,臺北59支,25.1004265,121.5498091,305453.0812,2777013.928
103261,臺北保安郵局,臺北61支,25.0599141,121.5137663,301834.8397,2772512.223
100230,臺北火車站郵局,臺北64支,25.047702,121.5173735,302203.9559,2771160.93
104231,臺北圓山郵局,臺北65支,25.0649927,121.5258114,303047.9272,2773079.427
104288,臺北長春路郵局,臺北67支,25.0549617,121.530679,303543.3765,2771970.254
104226,臺北民權郵局,臺北68支,25.0626417,121.5218074,302644.9701,2772817.453
108212,臺北老松郵局,臺北70支,25.0380929,121.5041441,300873.0264,2770091.538
100048,臺北汀州郵局,臺北71支,25.011816,121.5358871,304087.7772,2767193.273
100062,臺北龍口郵局,臺北72支,25.0290827,121.5115966,301628.8397,2769096.343
111010,士林中正路郵局,臺北73支,25.0935053,121.5195942,302408.5364,2776235.228
108245,臺北萬大路郵局,臺北74支,25.01887,121.496784,300138.1195,2767959.569
116071,文山興隆路郵局,臺北75支,25.0007152,121.5489768,305413.9437,2765968.98
111063,士林後港郵局,臺北77支,25.0874136,121.518346,302285.2239,2775559.99
110068,臺北永吉郵局,臺北78支,25.0455053,121.5710135,307617.4694,2770939.376
108022,臺北華江橋郵局,臺北79支,25.0352855,121.4929482,299744.3656,2769776.416
