機構代碼,機構名稱,型態別,縣市鄉鎮,lat,lng,TWD97_X,TWD97_Y
3831131815,渼林中醫診所,中醫一般診所,新北市土城區,24.9816065,121.4595098,296390.142,2763818.833
3831090033,太元堂中醫診所,中醫一般診所,新北市三峽區,24.9360375,121.367128,287077.2251,2758743.074
3831090042,同福堂中醫診所,中醫診所,新北市三峽區,24.9293201,121.3741909,287792.5809,2758000.985
3831091110,慈恩中醫診所,中醫一般診所,新北市三峽區,24.9354679,121.373238,287694.469,2758681.665
3831100034,慶安中醫診所,中醫一般診所,新北市淡水區,25.1719353,121.4405477,294407.0809,2784894.265
3831013509,施丞修中醫診所,中醫診所,新北市板橋區,25.0200239,121.481764,298621.7422,2768081.906
3831013518,坤儒中醫診所,中醫診所,新北市板橋區,25.0230035,121.464059,296833.7193,2768405.701
3831013536,洪天註中醫診所,中醫診所,新北市板橋區,25.0281633,121.4610195,296525.0175,2768976.177
3831013554,宏國中醫診所,中醫診所,新北市板橋區,25.0324214,121.4700436,297434.0847,2769450.954
3831013581,鴻林中醫診所,中醫診所,新北市板橋區,25.0050028,121.4611221,296544.1029,2766410.854
3831020077,長興中醫診所,中醫一般診所,新北市三重區,25.0807464,121.488282,299255.3072,2774810.198
3831020120,何合安中醫診所,中醫一般診所,新北市三重區,25.0719814,121.4913855,299571.9058,2773840.472
3831020166,林寶華中醫診所,中醫一般診所,新北市三重區,25.0675345,121.4821722,298644.1927,2773344.563
3831020175,富信中醫診所,中醫一般診所,新北市三重區,25.064231,121.484502,298880.5503,2772979.49
3831020219,慧光中醫診所,中醫一般診所,新北市三重區,25.0747667,121.4976673,300204.5004,2774151.306
3831020326,啄木鳥中醫診所,中醫一般診所,新北市三重區,25.0670735,121.4991309,300355.2959,2773299.708
3831020460,新博愛中醫診所,中醫一般診所,新北市三重區,25.0621419,121.501136,300559.6097,2772754.205
3831020479,正五華中醫診所,中醫一般診所,新北市三重區,25.0791679,121.4896137,299390.2775,2774635.841
3831020513,東華堂中醫診所,中醫一般診所,新北市三重區,25.072673,121.4966417,300101.8884,2773919.015
3831020586,三和中醫診所,中醫一般診所,新北市三重區,25.0795361,121.4811484,298536.1735,2774673.558
3831011256,板橋聖昌中醫診所,中醫一般診所,新北市板橋區,25.030588,121.4760375,298039.6773,2769249.991
3831011283,陳東熙中醫診所,中醫一般診所,新北市板橋區,25.027438,121.4701781,297449.5744,2768899.017
3831011309,日祥中醫診所,中醫一般診所,新北市板橋區,25.0173719,121.45619,296041.6545,2767779.223
3831011345,健福中醫診所,中醫一般診所,新北市板橋區,25.0224905,121.479303,298372.3968,2768354.237
3831011363,人和中醫診所,中醫一般診所,新北市板橋區,24.989963,121.4273662,293142.1051,2764733.822
3831011425,聖原中醫診所,中醫一般診所,新北市板橋區,25.0275126,121.476167,298053.9438,2768909.391
3817060499,何永讚中醫診所,中醫一般診所,臺中市西屯區,24.166237,120.656147,215060.7912,2673476.519
3817060506,仁美中醫診所,中醫一般診所,臺中市西屯區,24.1673217,120.6537032,214812.7697,2673597.262
3846011179,道民中醫診所,中醫一般診所,臺東縣台東市,22.7633363,121.1431547,264700.5851,2518084.155
3846011197,大春中醫診所,中醫一般診所,臺東縣台東市,22.7444027,121.1383793,264212.1561,2515987.176
3846011222,陳靜婉中醫診所,中醫一般診所,臺東縣台東市,22.7559129,121.1530229,265714.8035,2517263.176
3846011231,景春中醫診所,中醫診所,臺東縣台東市,22.7552119,121.1542904,265845.0515,2517185.69
3846011268,普賢中醫診所,中醫診所,臺東縣台東市,22.7067151,121.0429353,254410.8474,2511808.064
3846021022,宏霖中醫診所,中醫一般診所,臺東縣成功鎮,23.1050697,121.3808747,289014.2502,2555968.765
3846101052,福壽堂中醫診所,中醫一般診所,臺東縣池上鄉,23.1233109,121.218971,272426.8133,2557954.639
3890010020,弘恩中醫診所,中醫一般診所,金門縣金城鎮,24.4340514,118.3198111,-21829.97517,2705725.631
3890011036,廣濟中醫診所,中醫一般診所,金門縣金城鎮,24.425866,118.325541,-21266.0845,2704807.169
4001020019,基督復臨安息日會醫療財團法人臺安診所,西醫診所,臺北市大安區,25.029112,121.548223,305325.1267,2769114.052
4101200019,有全醫療社團法人景美牙醫診所,牙醫診所,臺北市文山區,24.991396,121.541818,304695.4423,2764933.832
4102050013,和平醫療社團法人章玟琇中醫診所,中醫診所,高雄市三民區,22.636843,120.3394419,182103.823,2504221.246
4131050027,有全醫療社團法人有全牙醫診所,牙醫診所,新北市新店區,24.9756199,121.543129,304834.7841,2763186.925
4202020017,聯合病理中心,病理中心,高雄市鼓山區,22.662564,120.293005,177344.125,2507091.363
4202030013,高柏病理中心,病理中心,高雄市左營區,22.6828179,120.3091709,179015.9307,2509326.351
3843070023,世昌中醫診所,中醫一般診所,屏東縣麟洛鄉,22.6518911,120.526119,201297.3074,2505814.417
3843091059,聖德昌中醫診所,中醫一般診所,屏東縣里港鄉,22.778972,120.4944711,198092.6107,2519897.049
3843100017,大仁中醫診所,中醫一般診所,屏東縣鹽埔鄉,22.7383885,120.5548451,204278.3618,2515383.246
3843130079,銓泰中醫診所,中醫一般診所,屏東縣內埔鄉,22.6197404,120.5617822,204952.1336,2502243.128
3843131129,平安中醫診所,中醫診所,屏東縣內埔鄉,22.6198412,120.5620845,204983.2426,2502254.198
3843161047,崇益中醫診所,中醫一般診所,屏東縣枋寮鄉,22.3682223,120.5936345,208150.952,2474383.772
3843161056,惠鳴中醫診所,中醫一般診所,屏東縣枋寮鄉,22.383909,120.59504,208300.3709,2476120.312
3843201028,振德中醫診所,中醫一般診所,屏東縣南州鄉,22.489204,120.509975,199578.9581,2487805.473
3843211024,張世材中醫診所,中醫診所,屏東縣佳冬鄉,22.4339982,120.5628388,205000.6299,2481675.822
3842011931,立群中醫診所,中醫一般診所,高雄市鳳山區,22.5870337,120.3430435,182449.7123,2498704.089
3842011940,長榮中醫診所,中醫一般診所,高雄市鳳山區,22.596337,120.3329136,181412.6996,2499738.891
3842012036,多寶中醫診所,中醫一般診所,高雄市鳳山區,22.6376941,120.3641975,184648.832,2504304.411
3845011531,原相中醫診所,中醫診所,花蓮縣花蓮市,23.9736371,121.6038857,311453.5743,2652235.105
3843012030,禾豐中醫診所,中醫診所,屏東縣屏東市,22.6644965,120.478578,196416.1264,2507226.575
3836031301,泰乙堂中醫診所,中醫一般診所,臺中市大甲區,24.3411095,120.6270544,212156.4251,2692851.636
3832012659,安慶中醫診所,中醫一般診所,桃園市桃園區,24.989572,121.288784,279152.3954,2764653.577
3842060041,漢泰隆中醫診所,中醫一般診所,高雄市大寮區,22.6124096,120.3906775,187359.2069,2501493.219
3731071518,傑夫牙醫診所,牙醫一般診所,新北市樹林區,24.9925958,121.4228729,292687.5971,2765024.018
3701200958,人本家庭牙醫診所,牙醫一般診所,臺北市文山區,24.9803977,121.5548743,306018.4595,2763720.935
3717072371,微笑美學牙醫診所,牙醫一般診所,臺中市南屯區,24.1538,120.6354571,212954.8667,2672104.43
3717072380,惠文牙醫診所,牙醫一般診所,臺中市南屯區,24.1498214,120.637423,213153.5038,2671663.278
3717072406,尖端牙醫診所,牙醫一般診所,臺中市南屯區,24.1510786,120.6348994,212897.4064,2671803.18
3717072433,立豐牙醫診所,牙醫一般診所,臺中市南屯區,24.1356344,120.6496108,214388.1563,2670088.906
3717072504,達仁牙醫診所,牙醫診所,臺中市南屯區,24.1355109,120.653479,214781.2706,2670074.251
3717072513,大墩牙醫診所,牙醫診所,臺中市南屯區,24.153351,120.650426,214475.9067,2672050.823
3717072522,佳新牙醫診所,牙醫診所,臺中市南屯區,24.1354776,120.6441125,213829.2871,2670072.949
3717072531,安生牙醫診所,牙醫診所,臺中市南屯區,24.1524249,120.633084,212713.3091,2671952.766
3717072559,光麗牙醫診所,牙醫診所,臺中市南屯區,24.152517,120.6517011,214605.2551,2671958.134
3717072577,豐美牙醫診所,牙醫診所,臺中市南屯區,24.1315219,120.644117,213828.6318,2669634.852
3717072595,曜昇牙醫診所,牙醫診所,臺中市南屯區,24.15244,120.647703,214198.9363,2671950.623
3717072611,益群牙醫診所,牙醫診所,臺中市南屯區,24.1408775,120.6529129,214725.2068,2670668.747
3717080024,永大牙醫診所,牙醫一般診所,臺中市北屯區,24.175517,120.688835,218384.5564,2674496.513
3717080088,昌平牙醫診所,牙醫一般診所,臺中市北屯區,24.1758399,120.690116,218514.7905,2674531.985
3717080104,耀仁牙醫診所,牙醫一般診所,臺中市北屯區,24.1810927,120.7005617,219577.359,2675111.425
3717080113,松竹牙醫診所,牙醫一般診所,臺中市北屯區,24.1829405,120.6908595,218592.0709,2675318.215
3717062437,佳威牙醫診所,牙醫一般診所,臺中市西屯區,24.171892,120.6445709,213886.1142,2674105.754
3717062464,大愛牙醫診所,牙醫一般診所,臺中市西屯區,24.1751267,120.6670227,216168.232,2674458.388
3717062535,亞頓牙醫診所,牙醫一般診所,臺中市西屯區,24.1902391,120.6133937,210723.8953,2676146.122
3717062562,高適牙醫診所,牙醫一般診所,臺中市西屯區,24.1862752,120.6079873,210173.4119,2675708.643
3832022619,方濟中醫診所,中醫一般診所,桃園市中壢區,24.941843,121.250442,275291.553,2759359.324
3717082537,德林牙醫診所,牙醫一般診所,臺中市北屯區,24.1709676,120.6969355,219206.5091,2673990.857
3717082582,潔宇牙醫診所,牙醫一般診所,臺中市北屯區,24.1719969,120.683015,217792.3369,2674107.986
3717062599,固德牙醫診所,牙醫一般診所,臺中市西屯區,24.17261,120.642094,213634.6464,2674185.915
3717062642,名威牙醫診所,牙醫一般診所,臺中市西屯區,24.17545,120.64944,214381.8376,2674498.558
3717062679,非凡牙醫診所,牙醫一般診所,臺中市西屯區,24.1752465,120.6443423,213863.8311,2674477.328
3717060433,愛鄰牙醫診所,牙醫一般診所,臺中市西屯區,24.163007,120.657764,215224.2226,2673118.391
3717060460,信德牙醫診所,牙醫一般診所,臺中市西屯區,24.1728619,120.660775,215532.8287,2674209.085
3717060504,敦煌牙醫診所,牙醫診所,臺中市西屯區,24.1591329,120.6522099,214658.7808,2672690.722
3717050786,亞聖牙醫診所,牙醫一般診所,臺中市北區,24.1558453,120.6745573,216928.8163,2672321.158
3717050820,王弘志牙醫診所,牙醫一般診所,臺中市北區,24.1559004,120.6700429,216470.0782,2672328.334
3717050857,福齡牙醫診所,牙醫一般診所,臺中市北區,24.1704722,120.6680957,216276.0309,2673942.639
3717050884,上群牙醫診所,牙醫一般診所,臺中市北區,24.171789,120.673539,216829.4554,2674087.175
3717050928,英綺牙醫診所,牙醫一般診所,臺中市北區,24.14791,120.683813,217867.394,2671440.164
3717050964,永昌牙醫診所,牙醫一般診所,臺中市北區,24.166691,120.67,216468.536,2673523.411
3717050982,潔美牙醫診所,牙醫一般診所,臺中市北區,24.16679,120.674973,216973.8741,2673533.193
3717051014,宏瑞牙醫診所,牙醫一般診所,臺中市北區,24.163168,120.666708,216133.1026,2673134.028
3717051069,宏林牙醫診所,牙醫一般診所,臺中市北區,24.166896,120.679529,217436.8413,2673543.865
3712010344,禮正牙醫診所,牙醫專科診所,新竹市東區,24.7835121,121.016761,251694.8077,2741799.424
3712010371,沈牙醫診所,牙醫專科診所,新竹市東區,24.799577,120.981422,248121.7062,2743578.776
3712010380,新明牙醫診所,牙醫專科診所,新竹市東區,24.7848432,121.0140434,251419.9993,2741946.824
3712010399,溫牙醫診所,牙醫專科診所,新竹市東區,24.8093922,120.9793395,247911.3234,2744665.927
