ID,縣市,鄉鎮市區,路名,土地面積,使用分區,移轉層次,總樓層數,主要用途,主要建材,建物型態,屋齡,建物面積,車位面積,車位個數,橫坐標,縱坐標,備註,主建物面積,陽台面積,附屬建物面積,單價
TR-1,台北市,大安區,敦化南路二段,-0.256715997,None,11,11,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),32.58333333,-0.174153728,-0.819325686,0,305266,2768378,,0.39392595,0.183700022,-0.438451903,4.627714498
TR-2,台北市,萬華區,水源路,0.100134332,None,7,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),24.16666667,0.314203765,-0.819325686,0,300677,2767990,,-0.316131226,0.60857713,-0.438451903,1.887258145
TR-3,高雄市,鳳山區,北忠街,0.181920543,None,10,15,集合住宅,其他,住宅大樓(11層含以上有電梯),6.166666667,0.423366029,0.161624325,1,184815,2504666,,-0.098870704,-0.36062045,1.525881231,1.489072179
TR-4,新北市,新莊區,福前街,0.085594027,None,9,14,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),8.833333333,0.164249288,0.524653069,1,296653,2772355,,-0.071147356,0.315087722,0.231983536,2.051217072
TR-5,新北市,板橋區,文化路一段,-0.938115547,None,41,43,住家用,鋼骨造,住宅大樓(11層含以上有電梯),11,0.985838954,0.532377085,1,297377,2768472,,0.791954016,1.719400413,-0.438451903,3.269197673
TR-6,台北市,萬華區,國興路,0.260510291,None,2,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),39.33333333,-0.411438017,-0.819325686,0,301365,2768583,,-0.371295031,-0.618276849,-0.438451903,2.238598703
TR-7,新北市,樹林區,信義街,0.856422461,None,2,4,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),46,-0.868770446,-0.819325686,0,292687,2763850,,-0.2454084,-1.642077109,-0.438451903,1.348535956
TR-8,桃園市,平鎮區,中庸路,-0.618421105,None,7,13,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),17,-0.468317301,-0.819325686,0,271007,2756216,,-0.445129661,-0.341850778,-0.190775116,1.207999733
TR-9,新北市,永和區,民樂街,0.736158517,None,5,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),42.83333333,-0.422928781,-0.819325686,0,303269,2765580,,-0.109337682,1.913922462,-0.438451903,2.074639776
TR-10,桃園市,中壢區,龍仁路,-0.326509461,None,15,15,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),6.333333333,-0.518302127,1.114767879,1,273749,2758835,,-0.777809836,-0.503952486,-0.163018235,1.254845141
TR-11,新北市,泰山區,泰林路二段,-0.333310959,None,5,13,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),28.75,-0.303999368,1.490155048,1,292757,2772935,,-0.006365247,0.014772979,-0.323154088,1.348535956
TR-12,台中市,南區,五權南路,-0.823018818,None,8,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),29.5,-0.385583796,-0.819325686,0,216486,2667851,,-0.35375577,0.094970666,-0.438451903,1.114308917
TR-13,台北市,士林區,中山北路七段,-0.136019448,None,4,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),33.91666667,-0.290784989,-0.819325686,0,303912,2779315,,-0.09151553,0.741671164,-0.438451903,2.543093853
TR-14,台中市,南屯區,向上路二段,0.100951473,None,5,25,住家用,鋼骨造,住宅大樓(11層含以上有電梯),7.166666667,2.111359342,1.343398748,2,213748,2671323,,1.729172911,0.600045461,1.073230553,2.051217072
TR-15,新北市,新店區,北宜路二段,-1.174918233,None,17,18,住家用,鋼骨造,住宅大樓(11層含以上有電梯),21.16666667,-0.956100257,-0.298727019,1,305635,2760725,,-0.79591488,-0.437405469,-0.011422961,1.863835441
TR-16,台北市,文山區,新光路一段,1.199813995,None,3,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),26.58333333,-0.309170212,-0.819325686,0,307965,2765089,,-0.172139552,0.487427433,0.930175857,2.472825742
TR-17,台中市,西屯區,工業區一路,-0.117802008,None,10,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),30.33333333,0.087261165,-0.819325686,0,210831,2675172,,0.458425168,0.323619391,-0.438451903,1.090886213
TR-18,新北市,新莊區,天祥街,-1.07861575,None,13,18,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),5.083333333,-0.706176127,-0.819325686,0,292103,2768931,,-0.928308011,-1.160890987,0.091063986,2.004371664
TR-19,新北市,深坑區,文化街,-0.592368724,None,4,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),27.5,-0.524622047,-0.819325686,0,312552,2766008,,-0.445129661,-0.230939083,-0.019963539,1.67645381
TR-20,新北市,土城區,裕民路,-0.459847663,None,10,16,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),28.25,-0.217244096,0.94483953,1,295953,2763944,,0.241164645,-0.051774038,-0.297532352,2.027794368
TR-21,新北市,三峽區,大觀路,0.27406522,None,9,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),15.16666667,0.664672084,0.384075981,1,287719,2760030,,0.59110119,0.060843991,0.287497299,1.863835441
TR-22,新北市,樹林區,保安街二段,0.68847593,None,2,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),32.16666667,-0.147150432,-0.819325686,0,291632,2766676,,0.525187516,0.792861177,-0.438451903,1.207999733
TR-23,台北市,大安區,永康街,0.305404985,None,2,9,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),7.833333333,0.364188591,1.327950716,3,303452,2769440,,-0.288407878,-0.372564786,1.423394285,5.564622653
TR-24,高雄市,三民區,市中一路,0.354769921,None,5,5,其他,鋼筋混凝土造,公寓(5樓含以下無電梯),42.66666667,-1.006085082,-0.819325686,0,176668,2504317,,-0.611469749,-1.642077109,0.637661032,0.697384788
TR-25,桃園市,桃園區,同安街,-0.405099209,None,3,9,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),19.25,-0.3195119,0.42269606,1,280593,2767496,,-0.444563879,-0.11149572,0.05690167,1.348535956
TR-26,新北市,三重區,仁愛街,0.583785733,None,3,4,其他,鋼筋混凝土造,公寓(5樓含以下無電梯),40.5,-0.541858194,-0.819325686,0,299635,2774869,,-0.180626291,1.176786275,-0.438451903,1.629608402
TR-27,台北市,大安區,光復南路,-0.129602487,None,6,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),41.25,0.132649685,-0.819325686,0,306167,2769827,,0.434379407,1.750114421,-0.438451903,3.831342566
TR-28,新北市,板橋區,文化路二段,-1.076813233,None,4,22,住家用,鋼骨造,住宅大樓(11層含以上有電梯),6.583333333,-0.479808066,-0.819325686,0,297388,2768742,,-0.746408901,-0.183161738,-0.438451903,2.894434411
TR-29,桃園市,八德區,建德路,0.932440617,None,20,23,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),6,0.606069185,0.580265983,1,278407,2757642,,0.401846907,0.424293083,-0.438451903,1.816990033
TR-30,新北市,樹林區,東榮街,-0.638417028,None,5,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),28.66666667,-0.687216366,-0.819325686,0,291938,2763890,,-0.710764597,-0.935654929,-0.152342512,1.582762995
TR-31,台中市,西屯區,工業區一路,-0.153491848,None,5,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),29,0.009698505,-0.13806749,1,210676,2674260,花台2.65㎡,0.269453776,-0.010822027,0.127361446,1.231422437
TR-32,台北市,內湖區,成功路二段,0.61911507,None,4,4,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),42.16666667,-0.588970329,-0.819325686,0,309418,2773288,,-0.103962747,0.246834372,-0.438451903,2.215175999
TR-33,高雄市,前金區,民生二路,-0.243305269,None,3,12,其他,鋼筋混凝土造,住宅大樓(11層含以上有電梯),35.25,0.444623943,-0.819325686,0,177304,2502806,,0.835802169,0.635878471,-0.438451903,0.987826316
TR-34,台北市,大安區,和平東路二段,-1.009975897,None,10,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),32.16666667,-0.406841711,-0.819325686,0,304609,2768686,,-0.063509291,-0.572205837,-0.438451903,3.831342566
TR-35,桃園市,中壢區,公園路二段,1.176621607,None,4,14,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),6.666666667,0.939875896,2.183771671,2,270742,2766664,,0.549516168,-0.137090726,2.441858312,1.535917587
TR-36,台北市,內湖區,大湖山莊街,-0.325716353,None,3,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),40.83333333,-0.931395113,-0.819325686,0,310486,2775727,,-0.614864445,-0.031298033,-0.438451903,2.379134926
TR-37,台南市,新市區,富林路,0.530383159,None,6,7,集合住宅,鋼筋混凝土造,華廈(10層含以下有電梯),4.916666667,-0.764779027,-0.153515521,1,177456,2553464,,-0.731132771,-1.060217294,-0.438451903,1.465649475
TR-38,新北市,五股區,登林路,-0.437280148,None,8,14,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),3.25,-0.606206476,0.665230157,1,293208,2773561,,-0.906242489,-0.765021553,0.336605627,1.980948961
TR-39,桃園市,中壢區,永福路,0.111478173,None,7,8,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),27.41666667,0.197572505,0.234230074,1,275598,2761637,,0.730283712,0.193938025,-0.08828817,0.973772694
TR-40,台北市,松山區,八德路三段,0.102129117,None,5,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),41.91666667,-0.866472293,-0.819325686,0,306100,2771335,,-0.524905009,0.062550325,-0.438451903,3.362888489
TR-41,桃園市,蘆竹區,南祥路,0.167332171,None,5,15,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),25.83333333,0.278007857,0.70076063,1,280453,2771124,,0.772434516,-1.642077109,-0.438451903,1.231422437
TR-42,新北市,林口區,信義路,-0.505944035,None,8,15,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),9.333333333,0.06945048,-0.206038829,1,287773,2774928,,-0.265493683,-0.005703026,0.678228781,1.723299218
TR-43,台中市,北屯區,敦富一街,-0.438361658,None,6,12,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),2.166666667,-0.659063993,0.297567003,1,220153,2675479,,-0.898604424,-1.022677951,0.140172314,1.863835441
TR-44,苗栗縣,頭份市,八德二路,0.140799119,None,9,13,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),4.916666667,-0.339620738,-0.819325686,0,239770,2732820,,-0.59873964,-0.527841159,-0.438451903,1.058094428
TR-45,新北市,五股區,五福路,0.325256707,None,7,8,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),28.91666667,0.026934651,0.445868108,1,293944,2775729,,0.444563494,0.545442781,-0.231342866,1.395381364
TR-46,台中市,豐原區,三民路,-0.781440756,None,9,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),18.08333333,-0.075333153,0.555549132,1,221760,2683277,,-0.198448443,-0.0347107,-0.438451903,1.090886213
TR-47,台中市,南區,忠明南路,0.256496686,None,18,24,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),4.75,1.046165468,1.255344967,2,216037,2668146,,0.772717408,0.378222072,-0.438451903,1.653031106
TR-48,新北市,新莊區,福壽街,-0.434468221,None,4,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),41.5,-0.84808707,-0.819325686,0,296202,2771588,,-0.489260705,0.030129983,-0.438451903,1.629608402
TR-49,新竹縣,竹北市,三民路,0.156252699,None,6,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),6.833333333,0.319949148,0.657506141,1,251503,2747345,,-0.083311682,0.280961047,0.742283122,2.285444111
TR-50,台北市,文山區,萬安街,1.463630405,None,4,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),30.41666667,1.143262428,-0.819325686,0,307636,2766088,,1.194225453,0.90718554,0.142307459,2.041847991
TR-51,桃園市,中壢區,龍吉二街,-0.547281761,None,8,8,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),26.41666667,-0.451081154,-0.819325686,0,273910,2758845,,-0.164218595,-0.031298033,-0.438451903,0.95034999
TR-52,新北市,新莊區,中央路,0.419612471,None,2,28,店鋪,鋼骨造,住宅大樓(11層含以上有電梯),9.666666667,2.073439819,2.183771671,2,295958,2772467,,1.953505716,-1.642077109,2.187776092,2.215175999
TR-53,台中市,西屯區,福中五街,-0.593978972,None,4,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),29.08333333,-0.035115477,-0.819325686,1,210950,2675067,,-0.171007987,0.845757524,-0.284721484,1.114308917
TR-54,新北市,三重區,五華街,-0.048705518,住,2,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),41.75,-0.615973626,-0.819325686,0,299677,2775033,,0.165632667,-1.642077109,-0.438451903,1.957526257
TR-55,新北市,新店區,安民街,-0.862794363,None,8,16,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),26.25,-0.57575595,-0.819325686,0,302120,2762408,,-0.629291901,-0.321374773,0.298173022,1.723299218
TR-56,新北市,板橋區,大同街,-0.336026751,None,2,12,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),5.916666667,0.087261165,0.362448736,1,298201,2768820,,-0.189678813,-0.184868072,0.178604919,3.034970635
